Sentiment,SentimentText
2,@RAMMuseum / Exeter Redcoats ready for the @rugbyworldcup coming to @SandyParkExeter @RWC2015Exeter pic @maustinpics http://t.co/chHI9ZylF3
2,"After his defeat at Waterloo, Napoleon abdicated for the second time http://t.co/bRUD9bNgj6  via @britishmuseum http://t.co/5SlVORrunq"
2,.@maxmara Art Prize winner Corin Sworn creates a new large-scale installation @_TheWhitechapel http://t.co/RFTa1anHVt http://t.co/oGF4ir0B1K
2,"6 years ago today, the greatest museum opened: the #acropolismuseum. @britishmuseum #givethemback #elginmarbles #greece"
2,@britishmuseum Spartan! Do you suppose some knew when to pose?
2,BEATRICE GIBSON will present her new film THIS SATURDAY @_TheWhitechapel @FL_FLAMIN Book now: http://t.co/0rDWW3zHKv http://t.co/zQQTulLM3J
2,@britishmuseum @krisevans @adamlambert
2,Had an excellent lunchtime visit to @britishmuseum with @theresecoen this afternoon for the #DefiningBeauty exhibition.
2,The perfect location to wear #VanessaGounden ... The @britishmuseum's Great Court #WearableART #Artivism http://t.co/RAAvlb1AcW
2,@pennyprileszky @stockleyacademy @NationalGallery whole trip free!
2,.@nationalgallery Reinstate Candy after tribunal success #AskTheGallery @PCSCultureGroup http://t.co/hiQ6QFT8o0
2,#ThemePark #Leisure Second phase of Cornwallâs Tate St Ives steams ahead @Tate_StIves @ILoveCornwallUK @BAMC... http://t.co/Rc35aNAPXI
2,@britishmuseum @MrsSymbols @adamlambert
2,Praise for @tateliverpool  https://t.co/QlriENJBiV
2,@NationalGallery what is the scope of getting some of the art and ideally complete exhibitions outside London? NW maybe  #AskTheGallery
2,"...and @BritishMuseum have the Sutton Hoo Anglo-Saxon hoard, including the iconic helmet. Striking up close. http://t.co/gipigjfNAy"
2,Looking forward to seeing the Australia exhibition at @britishmuseum soon. My take on the Ancient Greece exhibit: http://t.co/ef2NOvoJJY
2,@Canton_Chris that or piss @schemaly @britishmuseum
2,Evidence ?@RieHepworth @PaulKindersley @NTHepburn @kettlesyard  correct Christopher Wood and correct time frame ? http://t.co/PvbJqWAWmr
2,#job Development Officer - @RAMMuseum​ in #Exeter - closing date 10 July http://t.co/wL9M2ylIIZ #museumjobs
2,Work experience was great @FitzMuseum_UK http://t.co/qRbr8dBsGr
2,@britishmuseum I'm curious to know what is the story behind this unsettling display? http://t.co/7yhqISLHSx
2,Frans Hals; We replaced the heavy 70s pastiche with a  Dutch 17th century rosewood moulding frame. @NationalGallery http://t.co/g0yhYbE0Pp
2,@RAMMuseum Thanks to Tom for helping me study Bronze Age metalwork this week for my #phd. Read about my visit here: http://t.co/O4kjQaxQd9
2,"My ToI Q&amp;A: W/writer,filmmaker &amp; first woman head of  @NationalGallery @RothschildHan on 'The Improbability of Love': http://t.co/6UgzVuXY5W"
2,@britishmuseum the trail has disappeared from that linked page.
2,Henry VIII crowned king #onthisday 1509.19th-century portrait (after Holbein) http://t.co/6g35yBbQqu http://t.co/XltevLY0Qh @britishmuseum
2,"@WMNNews @Tate_StIves haven't seen the garden yet but will soon. I'm a fan, that's what I am!! Rhyme of the day http://t.co/NchNHWoJJA"
2,Visitors like 3D weather. Millionth @RAMMuseum visitor today! http://t.co/nmJMxf2XFw
2,Get in the mood for #Pollock &amp; make some Jazzy Drips with the family http://t.co/WT31sacD13  @tateliverpool http://t.co/Ocn1AP9LPs
2,@_TheWhitechapel  : Cover Ulysses-nya Joyce karya Matisse : http://t.co/IoubnWlnCB
2,Ancient lives new discoveries @britishmuseum @VernonSys http://t.co/Kz7VujoSl4
2,"@wzaparte Ich fürchte dass auch dann die Leute nicht kommen würden. Siehe Text, warum. @DerSPIEGEL @MuseeLouvre @britishmuseum"
2,The most erotic painting in The @NationalGallery  No! not the Bronzino!-- but--'Leda &amp; the Swan' after Michealangleo http://t.co/rOLeopUrOJ
2,@Tate_StIves hear hear. Super interesting
2,@NationalGallery Apart from the obvious skull? No idea!
2,"@BBC_Culture @PlymouthMuseum Oh dear, why not Dame Laura Knight? Surely 'The Beach' should be in this list!"
2,@FitzMuseum_UK http://t.co/LRg6D2CIvu
